2021-07-11 05:59:18 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-07-11 05:59:19 install libdebconfclient0:amd64 <none> 0.249
2021-07-11 05:59:19 status half-installed libdebconfclient0:amd64 0.249
2021-07-11 05:59:19 status unpacked libdebconfclient0:amd64 0.249
2021-07-11 05:59:20 install coreutils:amd64 <none> 8.30-3
2021-07-11 05:59:20 status half-installed coreutils:amd64 8.30-3
2021-07-11 05:59:41 status unpacked coreutils:amd64 8.30-3
2021-07-11 05:59:41 install dash:amd64 <none> 0.5.10.2-5
2021-07-11 05:59:41 status half-installed dash:amd64 0.5.10.2-5
2021-07-11 05:59:43 status unpacked dash:amd64 0.5.10.2-5
2021-07-11 05:59:44 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.5
2021-07-11 05:59:44 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-07-11 05:59:45 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-07-11 05:59:46 install debconf:all <none> 1.5.71
2021-07-11 05:59:46 status half-installed debconf:all 1.5.71
2021-07-11 05:59:59 status unpacked debconf:all 1.5.71
2021-07-11 06:00:00 install debian-archive-keyring:all <none> 2019.1+deb10u1
2021-07-11 06:00:00 status half-installed debian-archive-keyring:all 2019.1+deb10u1
2021-07-11 06:00:02 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2021-07-11 06:00:02 install debianutils:amd64 <none> 4.8.6.1
2021-07-11 06:00:02 status half-installed debianutils:amd64 4.8.6.1
2021-07-11 06:00:08 status unpacked debianutils:amd64 4.8.6.1
2021-07-11 06:00:08 install diffutils:amd64 <none> 1:3.7-3
2021-07-11 06:00:08 status half-installed diffutils:amd64 1:3.7-3
2021-07-11 06:00:12 status unpacked diffutils:amd64 1:3.7-3
2021-07-11 06:00:13 upgrade dpkg:amd64 1.19.7 1.19.7
2021-07-11 06:00:13 status half-configured dpkg:amd64 1.19.7
2021-07-11 06:00:13 status unpacked dpkg:amd64 1.19.7
2021-07-11 06:00:13 status half-installed dpkg:amd64 1.19.7
2021-07-11 06:00:23 status unpacked dpkg:amd64 1.19.7
2021-07-11 06:00:23 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u3
2021-07-11 06:00:23 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u3
2021-07-11 06:00:27 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u3
2021-07-11 06:00:27 install libcom-err2:amd64 <none> 1.44.5-1+deb10u3
2021-07-11 06:00:27 status half-installed libcom-err2:amd64 1.44.5-1+deb10u3
2021-07-11 06:00:28 status unpacked libcom-err2:amd64 1.44.5-1+deb10u3
2021-07-11 06:00:29 install libext2fs2:amd64 <none> 1.44.5-1+deb10u3
2021-07-11 06:00:29 status half-installed libext2fs2:amd64 1.44.5-1+deb10u3
2021-07-11 06:00:29 status unpacked libext2fs2:amd64 1.44.5-1+deb10u3
2021-07-11 06:00:30 install libss2:amd64 <none> 1.44.5-1+deb10u3
2021-07-11 06:00:30 status half-installed libss2:amd64 1.44.5-1+deb10u3
2021-07-11 06:00:31 status unpacked libss2:amd64 1.44.5-1+deb10u3
2021-07-11 06:00:31 install findutils:amd64 <none> 4.6.0+git+20190209-2
2021-07-11 06:00:31 status half-installed findutils:amd64 4.6.0+git+20190209-2
2021-07-11 06:00:36 status unpacked findutils:amd64 4.6.0+git+20190209-2
2021-07-11 06:00:36 install gcc-8-base:amd64 <none> 8.3.0-6
2021-07-11 06:00:36 status half-installed gcc-8-base:amd64 8.3.0-6
2021-07-11 06:00:37 status unpacked gcc-8-base:amd64 8.3.0-6
2021-07-11 06:00:38 install libgcc1:amd64 <none> 1:8.3.0-6
2021-07-11 06:00:38 status half-installed libgcc1:amd64 1:8.3.0-6
2021-07-11 06:00:39 status unpacked libgcc1:amd64 1:8.3.0-6
2021-07-11 06:00:40 install libstdc++6:amd64 <none> 8.3.0-6
2021-07-11 06:00:40 status half-installed libstdc++6:amd64 8.3.0-6
2021-07-11 06:00:42 status unpacked libstdc++6:amd64 8.3.0-6
2021-07-11 06:00:42 install libc-bin:amd64 <none> 2.28-10
2021-07-11 06:00:42 status half-installed libc-bin:amd64 2.28-10
2021-07-11 06:00:46 status unpacked libc-bin:amd64 2.28-10
2021-07-11 06:00:47 upgrade libc6:amd64 2.28-10 2.28-10
2021-07-11 06:00:47 status half-configured libc6:amd64 2.28-10
2021-07-11 06:00:47 status unpacked libc6:amd64 2.28-10
2021-07-11 06:00:47 status half-installed libc6:amd64 2.28-10
2021-07-11 06:01:14 status unpacked libc6:amd64 2.28-10
2021-07-11 06:01:15 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4
2021-07-11 06:01:15 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4
2021-07-11 06:01:16 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4
2021-07-11 06:01:16 install gpgv:amd64 <none> 2.2.12-1+deb10u1
2021-07-11 06:01:16 status half-installed gpgv:amd64 2.2.12-1+deb10u1
2021-07-11 06:01:18 status unpacked gpgv:amd64 2.2.12-1+deb10u1
2021-07-11 06:01:18 install libgnutls30:amd64 <none> 3.6.7-4+deb10u7
2021-07-11 06:01:18 status half-installed libgnutls30:amd64 3.6.7-4+deb10u7
2021-07-11 06:01:21 status unpacked libgnutls30:amd64 3.6.7-4+deb10u7
2021-07-11 06:01:22 install grep:amd64 <none> 3.3-1
2021-07-11 06:01:22 status half-installed grep:amd64 3.3-1
2021-07-11 06:01:27 status unpacked grep:amd64 3.3-1
2021-07-11 06:01:28 install gzip:amd64 <none> 1.9-3
2021-07-11 06:01:28 status half-installed gzip:amd64 1.9-3
2021-07-11 06:01:31 status unpacked gzip:amd64 1.9-3
2021-07-11 06:01:31 install hostname:amd64 <none> 3.21
2021-07-11 06:01:31 status half-installed hostname:amd64 3.21
2021-07-11 06:01:33 status unpacked hostname:amd64 3.21
2021-07-11 06:01:33 install init-system-helpers:all <none> 1.56+nmu1
2021-07-11 06:01:33 status half-installed init-system-helpers:all 1.56+nmu1
2021-07-11 06:01:35 status unpacked init-system-helpers:all 1.56+nmu1
2021-07-11 06:01:35 install libcap-ng0:amd64 <none> 0.7.9-2
2021-07-11 06:01:35 status half-installed libcap-ng0:amd64 0.7.9-2
